,T,S,,counter,P,B,E,Z,G,H,L,M,N,Q
0,24082183018.6304,101093522.73533,896010452.962382,25554565820.1899,18679995.233702,47210923.072,278026.28248,1507606.31,1090263.974,3132885.27726314,745268.380200096,395804882.03595,6147356.058,681619.222326662
,0.976625867168067,0.004099734198934,0.03633669692399,1.03633669692399,0.000757546212887,0.001914585926422,1.12750434216236E-05,6.11392795542145E-05,4.42144301546966E-05,0.000127050641475,3.02235215770424E-05,0.016051422159223,0.000249299116126,2.76423015126251E-05
,,,,,,,,,,,,,,
,,,24658555367.2275,,,,,,,,,,,
,,,0.004099734198934,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,0.976625867168067,,,,,,,,,,,
